2018-12-30 14:28:41,128 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:28:41,130 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:32:16,344 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:32:16,345 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:32:38,268 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:32:38,269 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:33:47,700 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:33:47,701 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:34:34,816 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:34:34,817 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:35:34,208 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:35:34,209 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:36:47,373 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:36:47,375 - INFO - workflow: [('train', 1)], max: 1 epochs
2018-12-30 14:36:59,733 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/mmdetection/ex2_rpn_r50_train/work_dirs/rpn_r50_fpn_1x
2018-12-30 14:36:59,734 - INFO - workflow: [('train', 1)], max: 1 epochs
